service_type,org,name,common_name,full_name,address,city,state,zip,lat,lon,acres,use_restriction,dedicated_park,community,service_district,playground,tot_lot,baseball_50_6,baseball_90,softball,multi_purpose,basketball,tennis,sand_vball,comfort_station,pickleball,source
park,City of San Diego Parks & Recreation,North Mountain View Mini-Park,NORTH  MTN VIEW MP,North Mountain View Mini-Park,"3376 N MOUNTAIN VIEW DR, 92116",San Diego,CA,92116,32.770253780000004,-117.12165415,0.42479462,DEDIC PK/OS--ORD.,Y,NORMAL HEIGHTS,41.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Robert Egger-South Bay Community Park & Recreation Center,R. EGGER- SOUTH BAY CP & REC Center,Robert Egger-South Bay Community Park & Recreation Center,"1885 CORONADO SB AVE, 92154",San Diego,CA,92154,32.575518429999995,-117.09390615,8.87587061,DEDIC PK/OS--ORD.,Y,OTAY MESA-NESTOR,42.0,2,0,0,0,2,1,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Central Neighborhood Park,CENTRAL NP,Central Neighborhood Park,"4081 POLK AVE, 92105",San Diego,CA,92105,32.75166061,-117.10749666,0.59462782,NONE,N,MID-CITY: CITY HEIGHTS,41.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Zena Mini-Park,ROLANDO MP (ZENA MP) (Undeveloped),Zena Mini-Park,"6458 ZENA DR, 92115",San Diego,CA,92115,32.74660675,-117.0577782,0.06309558,NONE,N,MID-CITY: EASTERN AREA,41.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Dorothy Petway Neighborhood Park,PETWAY NP,Dorothy Petway Neighborhood Park,"1367 RIGEL ST, 92113",San Diego,CA,92113,32.69203523,-117.11863008,2.72258384,SEE L1203 ENTRIES,N,SOUTHEASTERN SAN DIEGO,43.0,1,1,0,0,0,0,0,0,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Clay Ave. Mini-Park,CLAY AVE MP,Clay Ave. Mini-Park,"3156 CLAY AVE, 92113",San Diego,CA,92113,32.70297681,-117.12611028,0.16433655,DEDIC PK/OS--ORD.,Y,SOUTHEASTERN SAN DIEGO,42.0,1,0,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Semillon Mini-Park,SEMILLON MP,Semillon Mini-Park,"12074 SEMILLON BLVD, 92131",San Diego,CA,12074,32.91770622000001,-117.0711128,0.43587258,UNKNOWN,Y,SCRIPPS MIRAMAR RANCH,40.0,0,1,0,0,0,0,0,0,0,0,0,Parks_SD
park,City of San Diego Parks & Recreation,Martin Luther King Community Park & Recreation Center,MARTIN L KING CP & REC CENTER,Martin Luther King Community Park & Recreation Center,"6407 SKYLINE DR, 92114",San Diego,CA,92114,32.699208719999994,-117.06029147999998,34.567120450000004,DEDIC PK/OS--ORD.,Y,ENCANTO,43.0,1,2,0,0,2,2,4,7,0,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Spring Canyon Neighborhood Park,SPRING CANYON NP,Spring Canyon Neighborhood Park,"11157 SCRIPPS POWAY PKWY, 92131",San Diego,CA,11157,32.93458746,-117.09354246,18.88360949,DEDIC PK/OS--ORD.,Y,MIRAMAR RANCH NORTH,40.0,1,1,0,0,3,2,3,0,1,1,0,Parks_SD
park,City of San Diego Parks & Recreation,Pasatiempo Neighborhood Park,PASATIEMPO NP (Undeveloped) ,Pasatiempo Neighborhood Park,Pasatempo Avd.  92120,San Diego,CA,92120,32.791235,-117.05850538,10.68589208,DESIGNATED PARKLAND,N,NAVAJO,45.0,0,0,0,0,0,0,0,0,0,0,0,Parks_SD
