tract_geoid,economic_score,economic_coverage,education_score,education_coverage,health_score,health_coverage,housing_score,housing_coverage,safety_env_score,safety_env_coverage,mobility_connectivity_score,mobility_connectivity_coverage,youth_supports_score,youth_supports_coverage,yoi_raw_0_1,yoi_0_100
06073020033,0.42144808743169404,1.0,,0.0,0.6782312925170068,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.19428552967998597,1.0,0.44832115937996075,44.83211593799608
06073020030,0.26844262295081966,1.0,,0.0,0.6485260770975056,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.4373143558644625,1.0,0.4634006959509861,46.34006959509861
06073008377,0.029371584699453557,1.0,,0.0,0.6775510204081634,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.16515105363719437,1.0,0.34284834665899194,34.2848346658992
06073008379,0.010245901639344246,1.0,,0.0,0.5612244897959183,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.11004901282086782,1.0,0.2952097830368217,29.52097830368217
06073018202,0.21106557377049184,1.0,,0.0,0.1492063492063492,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.21979573376161862,1.0,0.269846846157404,26.984684615740402
06073018616,0.3025956284153005,1.0,,0.0,0.2163265306122449,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8774037973398314,1.0,0.4739114210646333,47.39114210646333
06073010018,0.9207650273224044,1.0,,0.0,0.5653061224489796,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.9299781242211946,1.0,0.7288422504709338,72.88422504709338
06073005102,0.16530054644808745,1.0,,0.0,0.5365079365079365,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.4700874108123575,1.0,0.41780390541488444,41.780390541488444
06073005101,0.05464480874316935,1.0,,0.0,0.21405895691609977,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.11549118969161612,1.0,0.2208786708105104,22.08786708105104
06073017901,0.3811475409836066,1.0,,0.0,0.4662131519274377,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.4093332041093235,1.0,0.43900340622788103,43.9003406227881
06073022102,0.5662568306010929,1.0,,0.0,0.7399092970521542,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7845254248239323,1.0,0.647502820092084,64.7502820092084
06073017070,0.7616120218579235,1.0,,0.0,0.8861678004535148,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7934224979001099,1.0,0.7351305120256761,73.51305120256761
06073008380,0.2882513661202186,1.0,,0.0,0.7328798185941042,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7247537821098589,1.0,0.5613011736788346,56.13011736788346
06073018301,0.8381147540983607,1.0,,0.0,0.7476190476190476,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5812320586307793,1.0,0.666571397059836,66.65713970598361
06073017902,0.07991803278688525,1.0,,0.0,0.18616780045351478,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5741690434654187,1.0,0.3348936511492438,33.48936511492438
06073007912,0.7534153005464481,1.0,,0.0,0.7544217687074829,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6571622407443303,1.0,0.6660797594723544,66.60797594723545
06073007602,0.264344262295082,1.0,,0.0,0.7383219954648527,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.37489777457794515,1.0,0.4692209400572591,46.92209400572591
06073013327,0.45628415300546443,1.0,,0.0,0.7011337868480725,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.4211078189756228,1.0,0.5194613716800791,51.94613716800791
06073017606,0.657103825136612,1.0,,0.0,0.7301587301587301,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.217754917435088,1.0,0.5260843001553966,52.60843001553967
06073017605,0.5785519125683061,1.0,,0.0,0.7111111111111111,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7143655562632109,1.0,0.6258370769584461,62.583707695844616
06073013321,0.41666666666666663,1.0,,0.0,0.6256235827664399,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.2936869456059221,1.0,0.4588242307325463,45.88242307325463
06073020038,0.549863387978142,1.0,,0.0,0.7020408163265306,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.797504130553171,1.0,0.63718201568725,63.718201568725
06073000301,0.19535519125683065,1.0,,0.0,0.671201814058957,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7762703181679728,1.0,0.5355367628437292,53.55367628437292
06073005103,0.002732240437158473,1.0,,0.0,0.026757369614512472,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7008321103203833,1.0,0.30741036206580263,30.74103620658026
06073020712,0.6236338797814207,1.0,,0.0,0.5213151927437641,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5658857844358911,1.0,0.5525386462130581,55.253864621305816
06073005401,0.6352459016393442,1.0,,0.0,0.819954648526077,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.1733143189433168,1.0,0.5319586492499736,53.19586492499736
06073005601,0.03825136612021862,1.0,,0.0,0.36848072562358275,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.499809394585514,1.0,0.35146530355511796,35.14653035551179
06073000302,0.3811475409836066,1.0,,0.0,0.7045351473922903,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7062742871911316,1.0,0.5728191758645462,57.281917586454625
06073001801,0.5416666666666667,1.0,,0.0,0.4541950113378685,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.3334011759384894,1.0,0.4571456454585453,45.71456454585453
06073015002,0.1441256830601093,1.0,,0.0,0.23038548752834467,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7589233793924626,1.0,0.40818856946801824,40.81885694680182
06073015001,0.04371584699453557,1.0,,0.0,0.4054421768707483,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6212402735856895,1.0,0.3924295063355324,39.24295063355324
06073014701,0.3811475409836066,1.0,,0.0,0.5253968253968254,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.2136732847820268,1.0,0.40488434476340385,40.48843447634039
06073014702,0.9419398907103825,1.0,,0.0,0.5102040816326531,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.4891350298599766,1.0,0.6101496825235422,61.014968252354215
06073010201,0.02390710382513661,1.0,,0.0,0.2519274376417234,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.3206878409437045,1.0,0.2739605275754302,27.39605275754302
06073020711,0.5341530054644809,1.0,,0.0,0.628344671201814,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.9181499736936838,1.0,0.6449918445627838,64.49918445627839
06073010202,0.42622950819672134,1.0,,0.0,0.42925170068027213,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.4345032721365344,1.0,0.44732605222617106,44.7326052226171
06073009307,0.3879781420765027,1.0,,0.0,0.6498866213151927,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.9582158779386925,1.0,0.6238500923053861,62.385009230538614
06073021002,0.8442622950819672,1.0,,0.0,0.5333333333333333,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8442384552192654,1.0,0.6802884528814306,68.02884528814306
06073009203,0.25068306010928965,1.0,,0.0,0.8104308390022675,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.633485171544873,1.0,0.5484796996368966,54.84796996368966
06073009204,0.9050546448087432,1.0,,0.0,0.5977324263038548,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.3977685782589834,1.0,0.5999688443156845,59.99688443156845
06073009308,0.8770491803278688,1.0,,0.0,0.5861678004535147,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.19666648206093834,1.0,0.5398007976833695,53.98007976833695
06073007401,0.35040983606557374,1.0,,0.0,0.6183673469387756,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.47872095921136437,1.0,0.48670446752671753,48.67044675267175
06073007303,0.8203551912568305,1.0,,0.0,0.808843537414966,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.036005501250703814,1.0,0.5411309894534142,54.11309894534142
