GEOID,NAME,youth_10_19,services_per_1k_youth_10_19,median_hh_income_2023usd,zero_veh_share,severity_score,priority_tier,suitability_score
06073008507,85.07,797.0,1.2547051442910917,87269.0,0.0433634992458521,0.512323147448491,Medium,0.22412411311679184
06073008509,85.09,471.0,2.1231422505307855,115600.0,0.0731981981981982,0.4818187596610076,Medium,0.19138924049772887
06073008510,85.10,437.0,0.0,79226.0,0.1223049784398275,0.5204243645150461,Medium,0.4745959362571458
06073008512,85.12,341.0,0.0,118224.0,0.0581771170006464,0.4847727575950257,Medium,0.4609551700584401
06073017108,171.08,544.0,0.0,165893.0,0.0417947141979102,0.46718738776525826,Medium,0.41287888102127906
06073017303,173.03,535.0,0.0,119558.0,0.0059701492537313,0.5017434388072362,Medium,0.42216280787699584
06073003404,34.04,885.0,1.1299435028248588,75843.0,0.0521739130434782,0.55797548828115,Medium,0.2711785147777322
06073003501,35.01,596.0,1.6778523489932886,59974.0,0.1286141575274177,0.5717195744048926,Medium,0.22228783307825345
06073003502,35.02,445.0,6.741573033707866,43807.0,0.0989193682460515,0.5398557487718405,Medium,0.19887995658146207
06073003502,35.02,445.0,6.741573033707866,43807.0,0.0989193682460515,0.5398557487718405,Medium,0.19887995658146207
06073003502,35.02,445.0,6.741573033707866,43807.0,0.0989193682460515,0.5398557487718405,Medium,0.19887995658146207
06073003602,36.02,780.0,3.8461538461538463,64444.0,0.0964285714285714,0.5786641429973434,Medium,0.193657372039725
06073003602,36.02,780.0,3.8461538461538463,64444.0,0.0964285714285714,0.5786641429973434,Medium,0.193657372039725
06073003602,36.02,780.0,3.8461538461538463,64444.0,0.0964285714285714,0.5786641429973434,Medium,0.193657372039725
06073003603,36.03,533.0,1.876172607879925,63664.0,0.1112195121951219,0.5663098948604947,Medium,0.1951980732578109
06073008513,85.13,320.0,6.25,132500.0,0.0086655112651646,0.468741090003237,Medium,0.15982210341187297
06073008513,85.13,320.0,6.25,132500.0,0.0086655112651646,0.468741090003237,Medium,0.15982210341187297
06073008600,86,803.0,3.7359900373599007,63924.0,0.0672489082969432,0.5360012433713977,Medium,0.2077574307772325
06073008600,86,803.0,3.7359900373599007,63924.0,0.0672489082969432,0.5360012433713977,Medium,0.2077574307772325
06073008600,86,803.0,3.7359900373599007,63924.0,0.0672489082969432,0.5360012433713977,Medium,0.2077574307772325
06073008701,87.01,312.0,6.41025641025641,78516.0,0.0106295993458708,0.4984410606464633,Medium,0.2127898913692012
06073008701,87.01,312.0,6.41025641025641,78516.0,0.0106295993458708,0.4984410606464633,Medium,0.2127898913692012
06073008702,87.02,669.0,0.0,111025.0,0.0874125874125874,0.5145674800405104,Medium,0.4981581550402318
06073017305,173.05,386.0,0.0,168889.0,0.0120663650075414,0.4548486610799548,Medium,0.38161562933861204
06073018621,186.21,418.0,0.0,115250.0,0.0440917107583774,0.5392189327590978,Medium,0.4245756785505659
