tract_geoid,NAME,NAMELSAD,median_hh_income,poverty_rate_pct,pct_hh_zero_vehicle,pct_hh_no_internet,total_population,opportunity_index_acs
06073016706,167.06,Census Tract 167.06,82200.0,18.1,2.608695652173913,0.0,2870,61.16241735794385
06073019305,193.05,Census Tract 193.05,76768.0,5.1,4.810996563573884,2.6345933562428407,4010,65.0392160675842
06073019304,193.04,Census Tract 193.04,103207.0,4.8,0.79155672823219,2.8144239226033423,3328,73.80748064469624
06073019209,192.09,Census Tract 192.09,141136.0,13.6,3.3396946564885495,3.9122137404580157,2899,67.37769325102354
06073020813,208.13,Census Tract 208.13,115163.0,4.2,0.822481151473612,4.660726525017135,6109,73.0200727735116
06073016404,164.04,Census Tract 164.04,46737.0,36.6,10.485651214128035,12.582781456953644,4092,7.0982336015010645
06073016812,168.12,Census Tract 168.12,79861.0,7.9,9.367088607594937,2.0253164556962027,2793,59.131535773818925
06073009109,91.09,Census Tract 91.09,177500.0,0.0,0.0,0.0,3378,96.60737275273661
06073007402,74.02,Census Tract 74.02,131159.0,8.6,3.868103994927077,6.467977171845275,3806,65.12109359432833
06073016621,166.21,Census Tract 166.21,140250.0,10.6,0.0,1.1851851851851851,4064,78.50433304076972
06073016620,166.20,Census Tract 166.20,100000.0,5.2,1.3215859030837005,0.0,2441,77.37632897962519
06073016813,168.13,Census Tract 168.13,102813.0,9.6,1.565217391304348,8.434782608695652,3287,58.41429446686327
06073016704,167.04,Census Tract 167.04,116711.0,7.0,3.4987794955248166,4.67860048820179,7549,67.7715647612017
06073018805,188.05,Census Tract 188.05,135717.0,4.6,2.9093369418132613,3.585926928281461,3977,75.7680829090174
06073016619,166.19,Census Tract 166.19,83976.0,9.5,4.216216216216216,5.081081081081082,4508,58.47492421728867
06073018804,188.04,Census Tract 188.04,126161.0,1.3,6.110572259941804,0.8244422890397671,4928,78.66018139146884
06073018620,186.20,Census Tract 186.20,83333.0,5.9,1.3201320132013201,1.3201320132013201,2095,71.56535493738151
06073018525,185.25,Census Tract 185.25,159688.0,3.5,0.7851534618129907,1.4989293361884368,4003,86.86156805294445
